shift,Perry
0,0.37300916665843803
1,0.37602712096620383
2,0.38059683658980115
3,0.3579871263271235
4,0.3521217865719208
5,0.3433174435320021
6,0.33623520515321814
7,0.34125215928232555
8,0.3209213443835453
9,0.3249374248729967
10,0.32680341410223046
11,0.3150018232676249
12,0.3017154365884301
13,0.3049087016482324
14,0.31839778197422475
15,0.30494313724451877
16,0.2907335490511511
17,0.2998889194949832
18,0.2896537652598216
19,0.2920310527486866
20,0.29707502529930374
21,0.30707565277354837
22,0.2934661722145798
23,0.30676166707149377
24,0.3023614809746931
25,0.3064906583753757
26,0.29774867644804487
27,0.29435840721843554
28,0.2931445787074119
29,0.30049901952927005
30,0.3106260660593596
