shift,Jeff,Han,Tony,Mack,Jason,Ray
0,0.32672224641286973,0.24374336989913487,0.3945742177428124,0.45202949201202974,0.3233011911267901,0.4268373475590956
1,0.27887700362673445,0.22003770038434198,0.37061073730835636,0.4278755220649649,0.2980837213988704,0.38059599147480244
2,0.33659782277641365,0.21333236746577106,0.44865723839032906,0.46792682338142877,0.3248609001969055,0.41898209899842714
3,0.3421880187337767,0.18693940619658778,0.42115651425957534,0.44638808272198166,0.2856003963954523,0.39432676912661435
4,0.34791994391769676,0.20513212349938073,0.43296549649853566,0.4698297988273254,0.31343446941086295,0.4637915229417172
5,0.2958529728271371,0.17125977380734686,0.35821594729475853,0.4298698616419295,0.31022897805994465,0.4382639954679203
6,0.3109721763988015,0.20882736886390738,0.3877063763388499,0.48320362213485013,0.3406651131410422,0.4638784661809873
7,0.27715642647824473,0.20061254980672238,0.3506684291382931,0.42818361334472915,0.3171358468066616,0.40281461687654235
8,0.33376713290527427,0.21582246910788574,0.41227350654707506,0.45429718436783834,0.36325876991432393,0.4396950612416264
9,0.317752949325674,0.2025992979624411,0.39123334553023237,0.4045342725524402,0.2941893392839813,0.3716836955577696
10,0.3393293164133476,0.2282776385842721,0.4325441088346232,0.4263758519281433,0.3298677893969047,0.42253652585569845
11,0.30012557077403407,0.22985142774378037,0.3635932899699511,0.40028946261161324,0.3214034607310925,0.38634630056763763
12,0.3535077008889712,0.2361714244568224,0.3892157208066562,0.4676579775372439,0.33941270640978827,0.43775055680768643
13,0.3354048837859559,0.21329703562548608,0.3559704420864803,0.4133408137849989,0.2979809596349142,0.38240444120534833
14,0.36498069867535565,0.2432033783075873,0.3916155646115558,0.4342773575693952,0.33894597096619167,0.41278400237455487
15,0.3695557962926104,0.20227862025466886,0.35366031700893874,0.4194379100039063,0.31454659442463534,0.38172104972166865
16,0.36217253537428534,0.2262609492743023,0.4012964759796199,0.46393372696795554,0.354039000406575,0.42351054761256623
17,0.31518352326879673,0.24485198299939007,0.3674089580815668,0.39648833638054176,0.324618804195217,0.4160444803165669
18,0.3535160835156159,0.2666063631341585,0.38567537417647374,0.4372215854763868,0.3555862825117678,0.44161152244027857
19,0.32316921270905563,0.22631541239453046,0.3488223531125375,0.40922941866170026,0.31531896250774377,0.3710110749060654
20,0.3522995166438709,0.2321634946886505,0.402365731745166,0.4491799366467796,0.34026216874429005,0.42378924439613525
21,0.29146521321227903,0.21047603399956188,0.3804339112388891,0.40067339430810556,0.2923555691303853,0.3946100174265702
22,0.3405845381576929,0.2109218690154079,0.41358080427848526,0.4418129322990146,0.3299420793982071,0.430614739544083
23,0.3331375760041076,0.1679023912041043,0.34646940034872187,0.39714969569949476,0.28747462579938465,0.39660497800360783
24,0.375572520990865,0.17001613048663647,0.36832684467981747,0.42166096274431575,0.314860448818621,0.4556579183528701
25,0.3289970220284519,0.16210688373238594,0.34516050876272786,0.3968489831677702,0.3189854650616814,0.40232710619587253
26,0.3602531762832378,0.20359239892658024,0.367970718485655,0.4538981809976639,0.3738299823698747,0.41371436452713206
27,0.3226207876915651,0.20491995575619393,0.3359516372656532,0.39543776772523653,0.3362103230660833,0.38028770492394337
28,0.3439822088717327,0.19469789723511974,0.4051980496879684,0.4262073496476531,0.34017029961056733,0.42292461468922193
29,0.30623577437478117,0.1844248484945838,0.35249888404089713,0.3910652252682867,0.3124835726286088,0.3775796053882797
30,0.3373554722361273,0.20233168573627944,0.36932208440219594,0.42317638777620903,0.3378521073650461,0.4028355244167281
